"","taxa","Population"
"213","P_1_3","C1P"
"214","P_1_4","C1P"
"215","P_10_1","C1P"
"216","P_10_4","C1P"
"217","P_10_6","C1P"
"218","P_11_1","C1P"
"219","P_11_3","C1P"
"220","P_12_1","C1P"
"221","P_12_2","C1P"
"222","P_12_4","C1P"
"223","P_13_5","C1P"
"224","P_13_6","C1P"
"225","P_14_1","C1P"
"226","P_14_5","C1P"
"227","P_14_6","C1P"
"228","P_15_1","C1P"
"229","P_15_4","C1P"
"230","P_15_5","C1P"
"231","P_15_6","C1P"
"232","P_16_1","C1P"
"233","P_16_2","C1P"
"234","P_16_3","C1P"
"235","P_16_4","C1P"
"236","P_16_5","C1P"
"237","P_17_2","C1P"
"238","P_17_3","C1P"
"239","P_17_6","C1P"
"240","P_18_1","C1P"
"241","P_18_3","C1P"
"242","P_18_6","C1P"
"243","P_19_4","C1P"
"244","P_2_1","C1P"
"245","P_2_2","C1P"
"246","P_2_4","C1P"
"247","P_2_5","C1P"
"248","P_20_2","C1P"
"249","P_20_3","C1P"
"250","P_21_1","C1P"
"251","P_21_4","C1P"
"252","P_21_5","C1P"
"253","P_22_2","C1P"
"254","P_22_3","C1P"
"255","P_22_5","C1P"
"256","P_22_6","C1P"
"257","P_23_5","C1P"
"258","P_23_6","C1P"
"259","P_24_2","C1P"
"260","P_24_3","C1P"
"261","P_24_5","C1P"
"262","P_24_6","C1P"
"263","P_25_1","C1P"
"264","P_25_4","C1P"
"265","P_25_6","C1P"
"266","P_26_2","C1P"
"267","P_26_3","C1P"
"268","P_26_4","C1P"
"269","P_26_6","C1P"
"270","P_27_3","C1P"
"271","P_28_1","C1P"
"272","P_28_3","C1P"
"273","P_28_4","C1P"
"274","P_28_5","C1P"
"275","P_28_6","C1P"
"276","P_29_1","C1P"
"277","P_29_2","C1P"
"278","P_29_3","C1P"
"279","P_29_5","C1P"
"280","P_3_1","C1P"
"281","P_3_5","C1P"
"282","P_3_6","C1P"
"283","P_30_2","C1P"
"284","P_30_4","C1P"
"285","P_31_4","C1P"
"286","P_31_5","C1P"
"287","P_32_1","C1P"
"288","P_32_5","C1P"
"289","P_32_6","C1P"
"290","P_33_1","C1P"
"291","P_33_6","C1P"
"292","P_34_1","C1P"
"293","P_35_2","C1P"
"294","P_35_6","C1P"
"295","P_36_4","C1P"
"296","P_36_5","C1P"
"297","P_36_6","C1P"
"298","P_37_1","C1P"
"299","P_4_1","C1P"
"300","P_4_4","C1P"
"301","P_4_5","C1P"
"302","P_4_6","C1P"
"303","P_5_2","C1P"
"304","P_5_3","C1P"
"305","P_5_4","C1P"
"306","P_5_5","C1P"
"307","P_6_1","C1P"
"308","P_6_3","C1P"
"309","P_6_4","C1P"
"310","P_6_6","C1P"
"311","P_7_1","C1P"
"312","P_7_6","C1P"
"313","P_8_2","C1P"
"314","P_8_4","C1P"
"315","P_8_6","C1P"
"316","P_9_1","C1P"
"317","P_9_4","C1P"
"318","P_9_5","C1P"
"319","P_9_6","C1P"
"320","SB164_3","base"
"321","SB171R_4","base"
"322","SB173R_4","base"
"323","SB182R_3","base"
"324","SB184R_2","base"
"325","SB184R_4","base"
"326","SB185_2","base"
"327","SB185_4","base"
"328","SB193R_1","base"
"329","SB5116_1","base"
"330","SB5122_1","base"
"331","SB531R_4","base"
"332","SB541_4","base"
"333","SB573R_2","base"
"334","SB581R_3","base"
"335","SC6112_1","base"
"336","SC6123R_1","base"
"337","SC643R_4","base"
"338","SC662R_1","base"
"339","SC691_4","base"
"340","SC694R_1","base"
"341","SC697_3","base"
"342","SC7101_2","base"
"343","SC724R_4","base"
"344","SC731R_2","base"
"345","SC742R_2","base"
"346","SC772_1","base"
"347","SC793_4","base"
"348","SC795_4","base"
